1996-06-24T06:49:05.058,1996-06-24T07:13:29.057,""
1996-06-24T18:01:05.032,1996-06-24T18:13:29.031,""
1996-06-25T03:13:05.011,1996-06-25T03:25:29.010,""
1996-06-27T11:41:36.881,1996-06-27T12:06:00.880,""
1996-06-27T17:42:48.867,1996-06-27T17:54:00.867,""
1996-06-27T18:41:36.865,1996-06-27T18:54:00.864,""
1996-06-27T19:16:48.863,1996-06-27T19:30:00.863,""
1996-06-28T02:17:36.847,1996-06-28T02:30:00.847,""
1996-06-28T03:46:48.844,1996-06-28T04:30:00.842,""
1996-06-28T22:44:48.800,1996-06-28T23:31:36.798,"ONBOARD AACS OUTAGE DURING S/C TURN"
1996-06-29T00:51:36.795,1996-06-29T01:04:00.795,""
1996-06-29T06:59:12.781,1996-06-29T07:16:48.781,"ONBOARD AACS OUTAGE DURING S/C TURN"
1996-06-29T16:28:48.759,1996-06-29T16:34:24.759,"ONBOARD AACS OUTAGE"
1996-06-30T07:27:36.725,1996-06-30T07:40:00.725,""
1996-06-30T23:32:24.688,1996-06-30T23:41:36.688,"MAG SENSOR FLIP"
1996-07-02T17:01:36.593,1996-07-02T17:20:00.592,"ONBOARD AACS OUTAGE"
1996-07-21T23:37:26.196,1996-08-08T11:28:46.500,"WRONG ONBOARD MATRIX"
1996-08-08T11:28:46.500,1996-08-09T04:45:58.525,"INSTRUMENT ANOMALY: MAG SENSOR FLIP FAILED"
1996-08-09T15:27:34.500,1996-08-09T15:39:58.499,""
1996-08-11T14:41:34.391,1996-08-11T14:47:10.391,"ONBOARD AACS OUTAGE"
1996-08-11T15:26:46.390,1996-08-11T15:32:46.389,"ONBOARD AACS OUTAGE"
1996-08-14T08:03:34.241,1996-08-14T08:15:58.241,""
1996-08-14T15:39:34.224,1996-08-14T15:51:58.223,""
1996-08-19T23:51:33.733,1996-08-20T00:03:57.732,""
1996-08-22T07:15:33.610,1996-08-22T08:03:57.608,""
1996-08-22T09:03:33.606,1996-08-22T09:27:57.605,""
1996-08-22T18:56:21.584,1996-08-22T19:03:57.584,""
1996-08-22T19:27:33.583,1996-08-22T20:03:57.582,""
1996-08-23T13:15:33.543,1996-08-23T15:03:57.539,""
1996-08-23T22:46:21.522,1996-08-23T23:03:57.522,""
1996-08-24T14:27:33.488,1996-08-31T11:24:24.456,"SPACECRAFT ANOMALY/SAFING"
1996-08-31T15:19:36.447,1996-08-31T16:08:00.445,""
1996-08-31T16:31:36.444,1996-08-31T16:44:00.444,""
1996-08-31T17:07:36.443,1996-08-31T17:20:00.442,""
1996-08-31T23:52:24.428,1996-09-01T00:08:00.427,""
1996-09-01T15:19:36.394,1996-09-01T15:32:00.393,""
1996-09-01T16:07:36.392,1996-09-01T16:32:00.391,""
1996-09-01T19:46:24.384,1996-09-01T19:56:00.384,"INSTRUMENT MODE CHANGE"
1996-09-01T22:07:36.379,1996-09-01T22:32:00.378,""
1996-09-03T12:56:36.293,1996-09-03T13:09:00.292,""
